Poker Bankroll Management Rules,
,
Game Type,Big Blinds
Limit Hold’Em,20-30
NLHE,30-50
PLO,50-100
,
Skill Level,Big Blinds
Soft Games,20-30
Tough Games,50-100
,
Risk Tolerance,Big Blinds
Conservative,50-100
Aggressive,20-30
,
Game Environment,Big Blinds
Live Poker,20-30
Online Poker,40-60
