cards,strength,rating,%
AdKsJsTd,78,2,
AdQsJsTd,90,1,
AcKdQdJc,100,1,
AcKdJcTd,75,2,
AcQdJcTd,88,1,
AsKcQsJc,104,1,
AsKcJcTs,78,2,
AhKcQhJc,104,1,
AhKcJcTh,78,2,
AdKcQdJc,104,1,
AdKcJcTd,78,2,
AsKhQhTs,85,1,
AsKsQcJc,108,1,
AdKsQsJd,100,1,
AdKsJdTs,75,2,
AdQsJdTs,88,1,
AdKhQhJd,100,1,
AdKhJdTh,75,2,
AdQhJdTh,88,1,
AsKdQsJd,104,1,
AsKhQhJs,100,1,
AsQcJcTs,90,1,
AhKhQcJc,108,1,
AhQcJcTh,90,1,
AdKdQcJc,108,1,
AdQcJcTd,90,1,
AhKsQhTs,86,1,
AhQhJsTs,96,1,
AhKcQhTc,86,1,
AhKcJhTc,75,2,
AdKcQdTc,86,1,
AdKcJdTc,75,2,
AdKsQdTs,86,1,
AdQdJsTs,96,1,
AdKhQdJh,104,1,
AdKhQdTh,86,1,
AdQdJhTh,96,1,
AsKdQdJs,100,1,
AsKdQdTs,85,1,
AhKdQdJh,100,1,
AhKdQdTh,85,1,
AhKsQhJs,104,1,
AcKsQsTc,85,1,
AcKsJsTc,78,2,
AcQsJsTc,90,1,
AsKcQsTc,86,1,
AsKcJsTc,75,2,
AcKhQhTc,85,1,
AcKhJhTc,78,2,
AdKdQsJs,108,1,
AdAcKcQs,138.5,1,
AhAcKcQs,138.5,1,
AsAcKcQh,138.5,1,
AcKhKcJh,133,1,
AsAdKdJd,123.5,1,
AhAdKdJd,123.5,1,
AdAcKcQh,138.5,1,
AsAcKcQd,138.5,1,
AhAdKhQs,138.5,1,
AsAdKsQh,138.5,1,
AsKsKdJd,133,1,
AhKhKdJd,133,1,
AhAdQdJd,126.5,1,
AsAdKhQs,136.5,1,
AsAdQdJd,126.5,1,
AcKdKcJd,133,1,
AsAhKhQc,138.5,1,
AhAdKsQh,136.5,1,
AdKdKcQd,120,1,
AhAdKcQd,136.5,1,
AsAdKcQd,136.5,1,
AsAdKdQc,138.5,1,
AsAdKsQc,138.5,1,
AhAdKhQc,138.5,1,
AsAhKsQc,138.5,1,
